ENTIDAD,Mes,Año,Tipo_sequia
Aguascalientes,1,2003,NPS
Aguascalientes,1,2004,NPS
Aguascalientes,1,2005,NPS
Aguascalientes,1,2006,D0
Aguascalientes,1,2007,NPS
Aguascalientes,1,2008,D0
Aguascalientes,1,2009,NPS
Aguascalientes,1,2010,NPS
Aguascalientes,1,2011,NPS
Aguascalientes,1,2012,D3
Aguascalientes,1,2013,NPS
Aguascalientes,1,2014,NPS
Aguascalientes,1,2015,NPS
Aguascalientes,1,2016,NPS
Aguascalientes,1,2017,NPS
Aguascalientes,1,2018,NPS
Aguascalientes,1,2019,NPS
Aguascalientes,1,2020,NPS
Aguascalientes,1,2021,D1
Aguascalientes,2,2003,NPS
Aguascalientes,2,2004,NPS
Aguascalientes,2,2005,NPS
Aguascalientes,2,2006,D1
Aguascalientes,2,2007,NPS
Aguascalientes,2,2008,NPS
Aguascalientes,2,2009,NPS
Aguascalientes,2,2010,NPS
Aguascalientes,2,2011,NPS
Aguascalientes,2,2012,D1
Aguascalientes,2,2013,NPS
Aguascalientes,2,2014,NPS
Aguascalientes,2,2015,NPS
Aguascalientes,2,2016,NPS
Aguascalientes,2,2017,D0
Aguascalientes,2,2018,NPS
Aguascalientes,2,2019,NPS
Aguascalientes,2,2020,NPS
Aguascalientes,2,2021,D1
Aguascalientes,3,2003,NPS
Aguascalientes,3,2004,NPS
Aguascalientes,3,2005,NPS
Aguascalientes,3,2006,D2
Aguascalientes,3,2007,NPS
Aguascalientes,3,2008,D1
Aguascalientes,3,2009,NPS
Aguascalientes,3,2010,NPS
Aguascalientes,3,2011,D1
Aguascalientes,3,2012,D1
Aguascalientes,3,2013,NPS
Aguascalientes,3,2014,NPS
Aguascalientes,3,2015,NPS
Aguascalientes,3,2016,NPS
Aguascalientes,3,2017,D0
Aguascalientes,3,2018,NPS
Aguascalientes,3,2019,NPS
Aguascalientes,3,2020,NPS
Aguascalientes,3,2021,D1
Aguascalientes,4,2003,NPS
Aguascalientes,4,2004,NPS
Aguascalientes,4,2005,NPS
Aguascalientes,4,2006,D2
Aguascalientes,4,2007,D0
Aguascalientes,4,2008,D1
Aguascalientes,4,2009,NPS
Aguascalientes,4,2010,NPS
Aguascalientes,4,2011,D2
Aguascalientes,4,2012,D1
Aguascalientes,4,2013,NPS
Aguascalientes,4,2014,D0
Aguascalientes,4,2015,NPS
Aguascalientes,4,2016,NPS
Aguascalientes,4,2017,D0
Aguascalientes,4,2018,NPS
Aguascalientes,4,2019,NPS
Aguascalientes,4,2020,NPS
Aguascalientes,4,2021,D2
Aguascalientes,5,2003,NPS
Aguascalientes,5,2004,NPS
Aguascalientes,5,2005,NPS
Aguascalientes,5,2006,D1
Aguascalientes,5,2007,D0
Aguascalientes,5,2008,D1
Aguascalientes,5,2009,NPS
Aguascalientes,5,2010,NPS
Aguascalientes,5,2011,D2
Aguascalientes,5,2012,D0
Aguascalientes,5,2013,D0
Aguascalientes,5,2014,NPS
Aguascalientes,5,2015,NPS
Aguascalientes,5,2016,NPS
Aguascalientes,5,2017,D1
