NOM_ENT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aguascalientes,270912.5305786133,142828.34356689453,52281.95373535156,113019.05615234375,209396.07904052734,123726.73028564453,198619.6455078125,80909.74954307407,122175.32556152345,73935.73638916017,136252.16430664062,100107.79358915439,280323.61818656174,93063.32550048828,0.0,2491.814758300781,0.0,7476.984313964844,831.2515258789062,10803.873840332033
Querétaro,2678684.929256185,559667.1377089557,1187312.7784653606,1579378.022410673,2640950.0549869314,1522296.8622687843,2668166.8994741403,2732452.135702455,2712583.0947710825,3299975.6844772035,3600259.4811322377,6509590.335750803,1619232.1782439589,953408.1070058786,452663.0222945868,2093632.328456744,2737719.186152679,2084660.1634023627,1898393.463241757,1498488.1562727385
Quintana Roo,137151699.35564584,289528465.8047794,189226259.16194808,163040294.55717343,230412473.06552827,388214985.566677,200164168.20495585,294350500.13254887,459066060.05787647,178925010.16463816,403878863.9312447,176153684.17505077,287189606.00939614,167607164.6273478,365087044.99422204,194025013.93725947,420728676.0640635,158700704.49014154,371629000.5399744,544976592.7150625
San Luis Potosí,26083163.79398887,19756661.70763729,20809890.970167447,34926972.27080461,36452320.02357704,53761009.152667604,33646523.41917007,44852471.73597269,41495515.813900456,44934862.88286707,86973252.1865299,41032207.25334186,57894893.47155403,26811732.97297076,28108368.87317301,42903517.46989363,67775674.41275157,59764785.56438299,104525016.15523706,58404971.61004472
Sinaloa,41134129.08785209,33285533.59158577,12087954.968091298,23504922.25711981,76471246.57095036,21642494.079467773,53708850.10283634,26978351.849235505,49342130.2412284,53754748.40001316,19209006.628298767,33156704.91495649,50615934.5177969,24468925.101177134,15757386.85641635,24304327.286317594,13937178.335459512,29655265.525046915,15140405.336160814,18173220.7059994
Sonora,13377720.355288995,13417007.663097665,7539091.41217041,12953223.386102416,16014200.307761995,6859560.452718337,10443716.779579792,8921938.096543256,13144571.99452742,22007025.350463867,4060633.707855344,13253066.472638534,9212896.023246257,3270147.9510617717,1050102.170311303,1702068.28792581,9464790.574157717,13763480.769888606,1716333.2175699868,2689441.5961914062
Tabasco,22950730.56499693,32552756.18017004,59064124.33867618,45090464.22905058,94739040.99965556,28137002.99517918,96780994.27201337,45426501.76994941,64483630.21992833,30754503.76832251,40266078.57503184,53018102.38303534,79308732.65831034,88316935.79717012,91840886.70770624,141580405.9353968,196404450.86857885,147424653.88437954,310474078.2703228,129544856.34551568
Tamaulipas,94558863.57455076,85061167.97282499,37253859.37737104,96865446.82003891,112580236.96159238,137333345.99877357,103937447.24261642,129602042.025427,206698704.6715684,120537442.00751448,112668514.80065368,103227490.57995772,95223631.28357317,56771427.8842345,31525426.21230397,80432094.69467631,97665195.28671876,114622311.93817905,74096584.31860423,67009578.7840411
Tlaxcala,1087998.1658772787,236911.91512834138,150937.11195020488,206033.33213991649,108263.3561808268,386594.94716533594,240868.78723455692,359017.81143583404,511848.8202466778,451125.82521613635,392594.36452923936,676370.3324747722,346365.1180020202,139334.11981201172,165499.33102237474,153841.1864961512,640651.877080461,639024.6127075196,868166.9883444394,3009276.04908184
Veracruz de Ignacio de la Llave,208579508.29596,204859718.85080183,152636331.5593257,206046706.9545985,391625922.8058629,237214297.5353782,311587273.12907046,207003155.13689348,247988546.56991327,184745191.6752501,281881572.40650684,169169007.60752836,265023050.3363308,233865681.00267112,224097759.5596933,326294645.4859495,338502035.9659239,385907749.7180266,485512751.3946748,299826426.2749697
Yucatán,327896138.13810647,277595890.48917204,275456695.06054,354004249.61251915,258254523.16382244,208705695.95226303,275744699.00688654,179682753.67272398,560934687.2920344,201579978.0787121,138470946.0663876,164901081.07958502,210754471.22348705,218523580.02037665,259989799.4850138,292094796.034156,322673354.31698304,222913157.555457,316405322.39784795,269396907.0619555
Zacatecas,4394695.543144913,936337.8520392922,1574582.4214740829,1041536.6528320312,1107240.7189331057,410014.75390625,1231364.650756836,1173604.7360777613,900644.3869298599,730145.6298040651,664217.9174560547,1487135.5627786075,2127832.792194441,1141636.2161254885,16673.548828125,17435.654174804688,50595.56921386719,169734.97375488278,128941.73510742188,62269.121520996094
México,7666424.033172968,1620297.592128619,2425859.3754916317,3247237.2554412237,3404039.366170008,3246620.3800247493,2630515.1505605658,3462804.0036843694,4105380.0898971264,4634656.220528636,2890561.1547451844,5579356.976669251,9031073.609660307,6673349.92186399,2437712.410971249,6415400.000432032,6424058.9275560565,12404560.769609278,5847767.484094718,5431258.177982824
Michoacán de Ocampo,44176981.77152938,18403151.84706145,13366084.658935547,24508884.397370946,23724146.623986576,36695516.56963082,51395067.25511715,36039633.32462373,28264415.557841226,29464583.954922065,35573484.51308306,44454170.94235624,90277998.17077254,59916357.36525473,62052267.06437845,90253585.70896932,72751924.9083678,117908412.37437576,78518089.63193336,59864131.2756228
Morelos,910456.5347558116,221105.59326171875,309414.8557746439,377965.50860954734,370573.9051269532,360592.19407193054,372942.16424560547,219304.08125741995,506645.3862082089,349805.4005059934,494139.2576700847,669109.6478731043,1203192.3734147614,968149.3532274432,195259.41847857306,253916.13492000804,595997.0258686141,1359854.683557129,236351.9580334233,151095.86205743527
Nayarit,6537464.837029193,6575501.697688563,6570795.853575703,6690446.317728678,15365475.041551778,9840553.168220073,11461260.524310902,8798586.111417642,7346913.859458772,9120094.142875882,5292783.798424814,16151125.920441033,27400059.68506027,20657750.62298009,17504424.968839753,19544642.935048547,23407573.97684853,32837128.74649323,24179691.011529185,22003914.95244308
Nuevo León,39292632.21804798,56421189.92859078,44721881.02869993,68746620.09487377,55126716.22516731,70675261.89844494,78073977.31145236,89540242.14424402,81865398.20666909,74176245.77605553,74540228.82689162,41548512.65398621,27939054.15810882,28272446.594201896,25267758.07481211,47634077.36897021,45403527.01908677,47400452.68936313,30322803.55248257,30852407.368595377
