NOM_ENT,Año,area
Aguascalientes,2001,270912.5305786133
Querétaro,2001,2678684.929256185
Quintana Roo,2001,137151699.35564584
San Luis Potosí,2001,26083163.79398887
Sinaloa,2001,41134129.08785209
Sonora,2001,13377720.355288995
Tabasco,2001,22950730.56499693
Tamaulipas,2001,94558863.57455076
Tlaxcala,2001,1087998.1658772787
Veracruz de Ignacio de la Llave,2001,208579508.29596
Yucatán,2001,327896138.13810647
Zacatecas,2001,4394695.543144913
México,2001,7666424.033172968
Michoacán de Ocampo,2001,44176981.77152938
Morelos,2001,910456.5347558116
Nayarit,2001,6537464.837029193
Nuevo León,2001,39292632.21804798
Oaxaca,2001,148312383.03088903
Puebla,2001,14222744.088369813
Guerrero,2001,36240970.137315705
Hidalgo,2001,19971896.60920506
Jalisco,2001,27281331.50223652
Guanajuato,2001,3561992.8799969843
Durango,2001,7623564.459669165
Ciudad de México,2001,196993.73664119944
Chihuahua,2001,4694426.904759783
Chiapas,2001,210748673.70813897
Colima,2001,10013734.297856113
Coahuila de Zaragoza,2001,19688025.15864856
Campeche,2001,225064815.81304047
Baja California Sur,2001,12542915.64428711
Baja California,2001,4545875.339133589
Aguascalientes,2002,142828.34356689453
Querétaro,2002,559667.1377089557
Quintana Roo,2002,289528465.8047794
San Luis Potosí,2002,19756661.70763729
Sinaloa,2002,33285533.59158577
Sonora,2002,13417007.663097665
Tabasco,2002,32552756.18017004
Tamaulipas,2002,85061167.97282499
Tlaxcala,2002,236911.91512834138
Veracruz de Ignacio de la Llave,2002,204859718.85080183
Yucatán,2002,277595890.48917204
Zacatecas,2002,936337.8520392922
México,2002,1620297.592128619
Michoacán de Ocampo,2002,18403151.84706145
Morelos,2002,221105.59326171875
Nayarit,2002,6575501.697688563
Nuevo León,2002,56421189.92859078
Oaxaca,2002,161221882.30626363
Puebla,2002,14630069.230959665
Guerrero,2002,18887399.23543366
Hidalgo,2002,17599288.109508313
Jalisco,2002,7699777.6918023825
Guanajuato,2002,1008655.5187054805
Durango,2002,7487523.683241901
Ciudad de México,2002,54119.78936767578
Chihuahua,2002,10546883.075886564
Chiapas,2002,175921254.99110875
Colima,2002,1585417.8050608912
Coahuila de Zaragoza,2002,19081077.423776906
Campeche,2002,231158930.16684404
Baja California Sur,2002,914236.6998276656
Baja California,2002,36361675.52240637
Aguascalientes,2003,52281.95373535156
Querétaro,2003,1187312.7784653606
Quintana Roo,2003,189226259.16194808
San Luis Potosí,2003,20809890.970167447
Sinaloa,2003,12087954.968091298
Sonora,2003,7539091.41217041
Tabasco,2003,59064124.33867618
Tamaulipas,2003,37253859.37737104
Tlaxcala,2003,150937.11195020488
Veracruz de Ignacio de la Llave,2003,152636331.5593257
Yucatán,2003,275456695.06053996
Zacatecas,2003,1574582.4214740829
México,2003,2425859.3754916317
Michoacán de Ocampo,2003,13366084.658935547
Morelos,2003,309414.8557746439
Nayarit,2003,6570795.853575703
Nuevo León,2003,44721881.02869993
Oaxaca,2003,101934205.68881068
Puebla,2003,11677025.763232902
Guerrero,2003,11744898.119630102
Hidalgo,2003,13549960.384904444
Jalisco,2003,10500230.15313984
Guanajuato,2003,1248154.177548158
Durango,2003,4850408.694376628
Ciudad de México,2003,121788.0167236328
Chihuahua,2003,4603810.852497654
Chiapas,2003,228344125.7525793
Colima,2003,2104001.6157836914
Coahuila de Zaragoza,2003,13802637.348862832
Campeche,2003,390533532.60121423
Baja California Sur,2003,1454737.9508779491
Baja California,2003,57281591.7919412
Aguascalientes,2004,113019.05615234375
Querétaro,2004,1579378.022410673
Quintana Roo,2004,163040294.55717343
San Luis Potosí,2004,34926972.27080461
Sinaloa,2004,23504922.25711981
Sonora,2004,12953223.386102416
Tabasco,2004,45090464.22905058
Tamaulipas,2004,96865446.82003891
Tlaxcala,2004,206033.33213991649
Veracruz de Ignacio de la Llave,2004,206046706.95459852
Yucatán,2004,354004249.61251915
Zacatecas,2004,1041536.6528320312
México,2004,3247237.2554412237
Michoacán de Ocampo,2004,24508884.397370946
Morelos,2004,377965.50860954734
Nayarit,2004,6690446.317728678
Nuevo León,2004,68746620.09487377
Oaxaca,2004,122418324.4460844
Puebla,2004,19611657.48193718
Guerrero,2004,35405185.562617764
Hidalgo,2004,25582384.81919376
Jalisco,2004,15051256.75905666
Guanajuato,2004,1929029.0551695584
Durango,2004,5317538.134878121
Ciudad de México,2004,196069.34408485566
Chihuahua,2004,11544883.57039412
Chiapas,2004,268061758.62134752
Colima,2004,1701643.0053100588
Coahuila de Zaragoza,2004,12233189.119083898
Campeche,2004,277977063.44277894
Baja California Sur,2004,3336643.0123872645
Baja California,2004,27297293.903005324
Aguascalientes,2005,209396.07904052734
Querétaro,2005,2640950.0549869314
Quintana Roo,2005,230412473.06552827
San Luis Potosí,2005,36452320.02357704
