ENTIDAD,Mes,Precipitacion,Año
AGUASCALIENTES,1,4.9,2003
BAJA CALIFORNIA,1,2.1,2003
BAJA CALIFORNIA SUR,1,2.1,2003
CAMPECHE,1,8.8,2003
COAHUILA,1,8.8,2003
COLIMA,1,0.7,2003
CHIAPAS,1,23.9,2003
CHIHUAHUA,1,6.8,2003
CIUDAD DE MÉXICO,1,0.3,2003
DURANGO,1,7.0,2003
GUANAJUATO,1,15.0,2003
GUERRERO,1,0.3,2003
HIDALGO,1,15.0,2003
JALISCO,1,2.7,2003
ESTADO DE MÉXICO,1,2.1,2003
MICHOACÁN,1,10.7,2003
MORELOS,1,0.0,2003
NAYARIT,1,0.2,2003
NUEVO LEÓN,1,26.6,2003
OAXACA,1,42.6,2003
PUEBLA,1,33.8,2003
QUERÉTARO,1,6.4,2003
QUINTANA ROO,1,31.6,2003
SAN LUIS POTOSÍ,1,25.3,2003
SINALOA,1,0.6,2003
SONORA,1,0.7,2003
TABASCO,1,78.4,2003
TAMAULIPAS,1,14.5,2003
TLAXCALA,1,0.0,2003
VERACRUZ,1,56.6,2003
YUCATÁN,1,5.1,2003
ZACATECAS,1,3.1,2003
AGUASCALIENTES,2,1.2,2003
BAJA CALIFORNIA,2,14.3,2003
BAJA CALIFORNIA SUR,2,14.3,2003
CAMPECHE,2,17.0,2003
COAHUILA,2,17.0,2003
COLIMA,2,0.0,2003
CHIAPAS,2,13.5,2003
CHIHUAHUA,2,28.8,2003
CIUDAD DE MÉXICO,2,1.5,2003
DURANGO,2,11.7,2003
GUANAJUATO,2,3.0,2003
GUERRERO,2,0.0,2003
HIDALGO,2,7.2,2003
JALISCO,2,1.6,2003
ESTADO DE MÉXICO,2,0.7,2003
MICHOACÁN,2,0.9,2003
MORELOS,2,0.0,2003
NAYARIT,2,8.5,2003
NUEVO LEÓN,2,7.7,2003
OAXACA,2,9.5,2003
PUEBLA,2,8.0,2003
QUERÉTARO,2,0.2,2003
QUINTANA ROO,2,108.3,2003
SAN LUIS POTOSÍ,2,7.2,2003
SINALOA,2,23.4,2003
SONORA,2,37.5,2003
TABASCO,2,36.3,2003
TAMAULIPAS,2,12.5,2003
TLAXCALA,2,0.0,2003
VERACRUZ,2,13.4,2003
YUCATÁN,2,11.1,2003
ZACATECAS,2,5.3,2003
AGUASCALIENTES,3,0.0,2003
BAJA CALIFORNIA,3,1.5,2003
BAJA CALIFORNIA SUR,3,1.5,2003
CAMPECHE,3,9.7,2003
COAHUILA,3,9.7,2003
