,ENTIDAD,Año,Mes,Temperatura_promedio,Temperatura_maxima,Temperatura_minima
0,AGUASCALIENTES,2003,ENERO,12.74316566429743,22.250410060142155,3.2359212684527074
1,BAJA CALIFORNIA,2003,ENERO,14.011498664157656,23.19752772440759,4.825469603907723
2,BAJA CALIFORNIA SUR,2003,ENERO,18.44599782436211,27.023003720736824,9.868991927987398
3,CAMPECHE,2003,ENERO,21.076568100358422,27.845250896057347,14.3078853046595
4,COAHUILA,2003,ENERO,13.55407470288625,22.021392190152806,5.086757215619695
5,COLIMA,2003,ENERO,25.482526881720425,32.95940860215053,18.00564516129032
6,CHIAPAS,2003,ENERO,21.574625139149706,28.37890808903019,14.77034218926922
7,CHIHUAHUA,2003,ENERO,11.205967615819036,20.462994609783102,1.948940621854971
8,CIUDAD DE MÉXICO,2003,ENERO,12.977234205000956,19.906031685436155,6.048436724565757
9,DURANGO,2003,ENERO,11.601256386342794,20.93726423985641,2.265248532829177
10,GUANAJUATO,2003,ENERO,14.075463447734545,22.74744887202193,5.403478023447161
11,GUERRERO,2003,ENERO,23.553021542222048,30.859853056760745,16.246190027683348
12,HIDALGO,2003,ENERO,12.51049908703591,20.714850882531955,4.306147291539866
13,JALISCO,2003,ENERO,16.763855782048545,26.128525026116506,7.399186537980585
14,ESTADO DE MÉXICO,2003,ENERO,10.78777299152273,19.343966044602276,2.2315799384431823
15,MICHOACÁN,2003,ENERO,14.693025004576274,22.870439219322037,6.515610789830509
16,MORELOS,2003,ENERO,18.70546813492683,27.269944925121948,10.14099134473171
17,NAYARIT,2003,ENERO,21.267945398777776,31.267556085555555,11.268334712000001
18,NUEVO LEÓN,2003,ENERO,11.860829493303571,19.92327188982143,3.798387096785714
19,OAXACA,2003,ENERO,20.092720164849055,27.726134181886792,12.45930614781132
20,PUEBLA,2003,ENERO,12.828917050357145,18.445852533857146,7.211981566857142
21,QUERÉTARO,2003,ENERO,14.45800553646154,23.30769230615385,5.60831876676923
22,QUINTANA ROO,2003,ENERO,20.867752866970587,27.52056389735294,14.214941836588235
23,SAN LUIS POTOSÍ,2003,ENERO,15.242722157582627,22.801246919097224,7.684197396068028
24,SINALOA,2003,ENERO,21.572835313815798,31.218675721315805,11.92699490631579
25,SONORA,2003,ENERO,17.004622549377952,27.425527274251966,6.583717824503939
26,TABASCO,2003,ENERO,22.12824601,26.91252847,17.34396355
27,TAMAULIPAS,2003,ENERO,16.017749344120833,22.178305813083334,9.857192875158331
28,TLAXCALA,2003,ENERO,11.594354838475,20.951774193000002,2.23693548395
29,VERACRUZ,2003,ENERO,18.132649488329267,23.218072383658537,13.047226592999996
30,YUCATÁN,2003,ENERO,20.381171170000002,27.02288288,13.73945946
31,ZACATECAS,2003,ENERO,12.074991085113094,21.54824171595238,2.60174045427381
32,NACIONAL,2003,ENERO,16.540235426302996,24.574548315913045,8.505922536692948
33,AGUASCALIENTES,2003,FEBRERO,15.105629539951579,25.066585956416475,5.144673123486685
34,BAJA CALIFORNIA,2003,FEBRERO,12.165395355673136,18.812536743092302,5.518253968253969
