,ENTIDAD,Año,Mes,Temperatura_promedio,Temperatura_maxima,Temperatura_minima
0,AGUASCALIENTES,2003,1,12.74316566429743,22.250410060142155,3.2359212684527074
1,BAJA CALIFORNIA,2003,1,14.011498664157655,23.197527724407593,4.825469603907723
2,BAJA CALIFORNIA SUR,2003,1,18.44599782436211,27.023003720736824,9.868991927987398
3,CAMPECHE,2003,1,21.076568100358426,27.845250896057355,14.3078853046595
4,COAHUILA,2003,1,13.55407470288625,22.021392190152806,5.086757215619695
5,COLIMA,2003,1,25.482526881720425,32.95940860215053,18.00564516129032
6,CHIAPAS,2003,1,21.574625139149703,28.37890808903019,14.77034218926922
7,CHIHUAHUA,2003,1,11.205967615819038,20.462994609783106,1.948940621854971
8,CIUDAD DE MÉXICO,2003,1,12.977234205000956,19.906031685436155,6.048436724565757
9,DURANGO,2003,1,11.601256386342795,20.93726423985641,2.265248532829177
10,GUANAJUATO,2003,1,14.075463447734544,22.747448872021927,5.40347802344716
11,GUERRERO,2003,1,23.55302154222205,30.859853056760745,16.246190027683348
12,HIDALGO,2003,1,12.51049908703591,20.71485088253195,4.306147291539866
13,JALISCO,2003,1,16.763855782048545,26.128525026116506,7.399186537980585
14,ESTADO DE MÉXICO,2003,1,10.78777299152273,19.343966044602283,2.2315799384431823
15,MICHOACÁN,2003,1,14.693025004576276,22.870439219322037,6.515610789830508
16,MORELOS,2003,1,18.70546813492683,27.26994492512195,10.140991344731711
17,NAYARIT,2003,1,21.267945398777773,31.267556085555555,11.268334712
18,NUEVO LEÓN,2003,1,11.860829493303573,19.92327188982143,3.798387096785714
19,OAXACA,2003,1,20.09272016484905,27.72613418188679,12.45930614781132
20,PUEBLA,2003,1,12.828917050357143,18.445852533857146,7.211981566857142
21,QUERÉTARO,2003,1,14.45800553646154,23.30769230615385,5.60831876676923
22,QUINTANA ROO,2003,1,20.867752866970587,27.520563897352943,14.214941836588235
23,SAN LUIS POTOSÍ,2003,1,15.242722157582627,22.801246919097228,7.684197396068027
24,SINALOA,2003,1,21.572835313815798,31.218675721315805,11.92699490631579
25,SONORA,2003,1,17.004622549377952,27.425527274251966,6.583717824503938
26,TABASCO,2003,1,22.12824601,26.91252847,17.34396355
27,TAMAULIPAS,2003,1,16.01774934412083,22.178305813083334,9.857192875158333
28,TLAXCALA,2003,1,11.594354838475,20.951774193,2.23693548395
29,VERACRUZ,2003,1,18.132649488329264,23.218072383658534,13.047226592999994
30,YUCATÁN,2003,1,20.38117117,27.02288288,13.73945946
31,ZACATECAS,2003,1,12.074991085113096,21.548241715952376,2.60174045427381
32,NACIONAL,2003,1,16.540235426302992,24.57454831591305,8.505922536692948
