,Estado,Sembrada_ha,Cosechada_ha,Año,Mes
0,Chiapas,44690,2890.0,2004,1
1,Hidalgo,4512,3516.0,2004,1
2,Veracruz,16350,2504.0,2004,1
3,Yucatan,440,0.0,2004,1
4,Total,144455,8910.0,2004,1
5,Chiapas,45121,10151.0,2004,2
6,Hidalgo,4894,4094.0,2004,2
7,Nayarit,46027,9000.0,2004,2
8,Oaxaca,3403,675.0,2004,2
9,Quintana roo,3638,2814.0,2004,2
10,San luis potosi,1476,615.0,2004,2
11,Sinaloa,16092,3931.0,2004,2
12,Tabasco,6401,185.0,2004,2
13,Tamaulipas,1084,170.0,2004,2
14,Veracruz,21347,5094.0,2004,2
15,Yucatan,488,91.0,2004,2
16,Total,154163,36820.0,2004,2
17,Campeche,3488,2278.0,2004,3
18,Chiapas,46239,33140.0,2004,3
19,Guerrero,62,46.0,2004,3
20,Hidalgo,5004,4294.0,2004,3
21,Jalisco,2272,2024.0,2004,3
22,Nayarit,46236,44466.0,2004,3
23,Oaxaca,3608,940.0,2004,3
24,Quintana roo,3638,3500.0,2004,3
25,San luis potosi,1476,1101.0,2004,3
26,Sinaloa,16406,14773.0,2004,3
27,Tabasco,6401,3051.0,2004,3
28,Tamaulipas,1302,690.0,2004,3
29,Veracruz,22352,9756.0,2004,3
30,Yucatan,488,212.0,2004,3
31,Total,159411,120269.0,2004,3
32,Campeche,3488,3488.0,2004,4
33,Chiapas,46364,38326.0,2004,4
34,Guerrero,62,61.0,2004,4
35,Hidalgo,5004,4604.0,2004,4
36,Jalisco,2272,2169.0,2004,4
37,Nayarit,46236,44484.0,2004,4
38,Oaxaca,3608,2719.0,2004,4
39,Quintana roo,3638,3506.0,2004,4
40,San luis potosi,1476,1412.0,2004,4
41,Sinaloa,16406,14853.0,2004,4
42,Tabasco,6401,5084.0,2004,4
43,Tamaulipas,1358,753.0,2004,4
44,Veracruz,22352,17830.0,2004,4
45,Yucatan,488,436.0,2004,4
46,Total,159593,139724.0,2004,4
47,Campeche,3488,3488.0,2004,5
48,Chiapas,46364,39274.0,2004,5
49,Guerrero,62,62.0,2004,5
50,Hidalgo,5004,4809.0,2004,5
51,Jalisco,2272,2169.0,2004,5
52,Nayarit,46236,44484.0,2004,5
53,Oaxaca,3608,3318.0,2004,5
54,Quintana roo,3638,3506.0,2004,5
55,San luis potosi,1476,1412.0,2004,5
56,Sinaloa,16406,14853.0,2004,5
57,Tabasco,6401,6181.0,2004,5
58,Tamaulipas,1392,879.0,2004,5
59,Veracruz,22518,20528.0,2004,5
60,Yucatan,488,456.0,2004,5
61,Total,159792,145418.0,2004,5
62,Campeche,3488,3488.0,2004,6
63,Chiapas,46364,40682.0,2004,6
64,Guerrero,62,62.0,2004,6
65,Hidalgo,5004,5004.0,2004,6
66,Jalisco,2272,2272.0,2004,6
67,Michoacan,31,1.0,2004,6
68,Nayarit,46236,44484.0,2004,6
69,Oaxaca,3608,3608.0,2004,6
70,Puebla,378,350.0,2004,6
71,Quintana roo,3638,3506.0,2004,6
72,San luis potosi,1476,1412.0,2004,6
73,Sinaloa,16406,14853.0,2004,6
74,Tabasco,6401,6181.0,2004,6
75,Tamaulipas,1392,1022.0,2004,6
76,Veracruz,22518,21331.0,2004,6
77,Yucatan,488,456.0,2004,6
78,Total,159793,148711.0,2004,6
79,Campeche,3488,3488.0,2004,7
80,Chiapas,46364,46364.0,2004,7
81,Guerrero,62,62.0,2004,7
82,Hidalgo,5004,5004.0,2004,7
83,Jalisco,2272,2272.0,2004,7
84,Michoacan,31,1.0,2004,7
85,Nayarit,46236,44484.0,2004,7
86,Oaxaca,3608,3608.0,2004,7
87,Puebla,378,378.0,2004,7
88,Quintana roo,3638,3510.0,2004,7
89,San luis potosi,1476,1412.0,2004,7
90,Sinaloa,16406,14853.0,2004,7
91,Tabasco,6401,6181.0,2004,7
92,Tamaulipas,1392,1158.0,2004,7
93,Veracruz,22523,21336.0,2004,7
94,Yucatan,488,456.0,2004,7
95,Total,159798,154567.0,2004,7
96,Campeche,3488,3488.0,2004,8
97,Chiapas,46364,46364.0,2004,8
98,Guerrero,62,62.0,2004,8
99,Hidalgo,5004,5004.0,2004,8
100,Jalisco,2272,2272.0,2004,8
101,Michoacan,31,1.0,2004,8
102,Nayarit,46236,44484.0,2004,8
103,Oaxaca,3608,3608.0,2004,8
104,Puebla,378,378.0,2004,8
105,Quintana roo,3638,3510.0,2004,8
106,San luis potosi,1476,1412.0,2004,8
107,Sinaloa,16406,14853.0,2004,8
108,Tabasco,6401,6181.0,2004,8
109,Tamaulipas,1392,1300.0,2004,8
110,Veracruz,22523,21745.0,2004,8
111,Yucatan,488,456.0,2004,8
112,Total,159798,155117.0,2004,8
113,Campeche,3488,3488.0,2004,9
114,Chiapas,46364,46364.0,2004,9
115,Guerrero,62,62.0,2004,9
116,Hidalgo,5004,5004.0,2004,9
117,Jalisco,2272,2272.0,2004,9
118,Michoacan,31,31.0,2004,9
119,Nayarit,46236,44484.0,2004,9
120,Nuevo leon,9,9.0,2004,9
121,Oaxaca,3608,3608.0,2004,9
122,Puebla,378,378.0,2004,9
123,Quintana roo,3638,3510.0,2004,9
124,San luis potosi,1476,1412.0,2004,9
125,Sinaloa,16406,14853.0,2004,9
126,Tabasco,6401,6181.0,2004,9
127,Tamaulipas,1392,1312.0,2004,9
128,Veracruz,22523,21976.0,2004,9
129,Yucatan,488,456.0,2004,9
130,Total,159798,155400.0,2004,9
131,Campeche,3488,3488.0,2004,12
132,Chiapas,46364,46364.0,2004,12
133,Guerrero,62,62.0,2004,12
134,Hidalgo,5004,5004.0,2004,12
135,Jalisco,2272,2272.0,2004,12
136,Michoacan,31,31.0,2004,12
137,Nayarit,46236,44484.0,2004,12
138,Nuevo leon,9,9.0,2004,12
139,Oaxaca,3608,3608.0,2004,12
140,Puebla,378,378.0,2004,12
141,Quintana roo,3638,3510.0,2004,12
142,San luis potosi,1476,1412.0,2004,12
143,Sinaloa,16406,14853.0,2004,12
144,Tabasco,6401,6181.0,2004,12
145,Tamaulipas,1392,1312.0,2004,12
146,Veracruz,22523,21976.0,2004,12
147,Yucatan,488,456.0,2004,12
148,Total,159798,155400.0,2004,12
149,Chiapas,43173,2350.0,2005,1
150,Hidalgo,4676,3951.0,2005,1
151,Quintana roo,2841,1486.0,2005,1
152,Sinaloa,10264,800.0,2005,1
153,Veracruz,21086,2662.0,2005,1
154,Yucatan,901,40.0,2005,1
155,Total,137376,11289.0,2005,1
156,Campeche,2876,345.0,2005,2
157,Chiapas,43947,7879.0,2005,2
158,Hidalgo,4861,3951.0,2005,2
159,Nayarit,40288,10447.0,2005,2
160,Oaxaca,3324,48.0,2005,2
161,Quintana roo,2841,1831.0,2005,2
162,Sinaloa,10266,5360.0,2005,2
163,Tabasco,6032,452.0,2005,2
164,Veracruz,23331,10967.0,2005,2
165,Yucatan,901,102.0,2005,2
166,Total,142647,41383.0,2005,2
167,Campeche,2876,695.0,2005,3
168,Chiapas,43947,22233.0,2005,3
169,Guerrero,88,2.0,2005,3
170,Hidalgo,4861,4176.0,2005,3
171,Jalisco,1895,1598.0,2005,3
172,Nayarit,40533,32165.0,2005,3
173,Oaxaca,3375,1548.0,2005,3
174,Quintana roo,2817,2218.0,2005,3
175,San luis potosi,840,388.0,2005,3
176,Sinaloa,10298,9566.0,2005,3
177,Tabasco,6032,452.0,2005,3
178,Veracruz,23840,15155.0,2005,3
179,Yucatan,901,857.0,2005,3
180,Total,143719,91054.0,2005,3
181,Campeche,2926,1466.0,2005,4
182,Chiapas,45405,31311.0,2005,4
183,Guerrero,88,68.0,2005,4
184,Hidalgo,4861,4306.0,2005,4
185,Jalisco,1896,1708.0,2005,4
186,Nayarit,40533,32220.0,2005,4
187,Oaxaca,3375,3119.0,2005,4
188,Quintana roo,2845,2238.0,2005,4
189,San luis potosi,840,741.0,2005,4
190,Sinaloa,10298,9740.0,2005,4
191,Tabasco,6032,3030.0,2005,4
192,Veracruz,23840,17132.0,2005,4
193,Yucatan,901,867.0,2005,4
194,Total,145273,107946.0,2005,4
195,Baja california,4,2.0,2005,5
196,Campeche,2926,1539.0,2005,5
197,Chiapas,45405,31519.0,2005,5
198,Chihuahua,195,78.0,2005,5
199,Guerrero,88,68.0,2005,5
200,Hidalgo,4861,4371.0,2005,5
201,Jalisco,1896,1861.0,2005,5
202,Nayarit,40533,32220.0,2005,5
203,Oaxaca,3375,3145.0,2005,5
204,Puebla,2546,14.0,2005,5
205,Quintana roo,2845,2246.0,2005,5
206,San luis potosi,840,741.0,2005,5
207,Sinaloa,10298,9740.0,2005,5
208,Tabasco,6032,4254.0,2005,5
209,Tamaulipas,919,2.0,2005,5
210,Veracruz,23840,20277.0,2005,5
211,Yucatan,901,867.0,2005,5
212,Total,147545,112944.0,2005,5
213,Baja california,4,2.0,2005,6
