,Estado,Sembrada_ha,Cosechada_ha,Año,Mes
0,Chiapas,95263,2676.0,2004,1
1,Quintana roo,4040,500.0,2004,1
2,Total,393272,3176.0,2004,1
3,Chiapas,99607,5594.0,2004,2
4,Guerrero,811,12.0,2004,2
5,Nayarit,2494,40.0,2004,2
6,Oaxaca,54644,368.0,2004,2
7,Quintana roo,5988,4000.0,2004,2
8,San luis potosi,13173,4057.0,2004,2
9,Sinaloa,7663,1973.0,2004,2
10,Veracruz,176739,266.0,2004,2
11,Total,472608,16310.0,2004,2
12,Campeche,4728,1717.0,2004,3
13,Chiapas,99900,24716.0,2004,3
14,Guerrero,811,455.0,2004,3
15,Jalisco,1219,140.0,2004,3
16,Nayarit,2537,950.0,2004,3
17,Oaxaca,54644,13828.0,2004,3
18,Quintana roo,5988,4385.0,2004,3
19,San luis potosi,13449,6630.0,2004,3
20,Sinaloa,7814,3247.0,2004,3
21,Tabasco,42411,2965.0,2004,3
22,Tamaulipas,21882,1600.0,2004,3
23,Veracruz,194122,5514.0,2004,3
24,Total,498232,66147.0,2004,3
25,Campeche,4728,2873.0,2004,4
26,Chiapas,99910,51328.0,2004,4
27,Guerrero,811,781.0,2004,4
28,Hidalgo,23566,7239.0,2004,4
29,Jalisco,1247,869.0,2004,4
30,Nayarit,2537,2341.0,2004,4
31,Oaxaca,54644,36633.0,2004,4
32,Quintana roo,5988,4385.0,2004,4
33,San luis potosi,12804,8483.0,2004,4
34,Sinaloa,7814,7176.0,2004,4
35,Tabasco,42411,11860.0,2004,4
36,Tamaulipas,22515,2829.0,2004,4
37,Veracruz,194638,49692.0,2004,4
38,Yucatan,1050,1050.0,2004,4
39,Total,499135,187539.0,2004,4
40,Baja california,2,2.0,2004,5
41,Campeche,4728,2873.0,2004,5
42,Chiapas,99910,60301.0,2004,5
43,Guerrero,811,803.0,2004,5
44,Hidalgo,23566,22138.0,2004,5
45,Jalisco,1247,979.0,2004,5
46,Nayarit,2565,2371.0,2004,5
47,Oaxaca,54644,49230.0,2004,5
48,Quintana roo,5988,4385.0,2004,5
49,San luis potosi,12804,11728.0,2004,5
50,Sinaloa,7814,7327.0,2004,5
51,Tabasco,42411,33066.0,2004,5
52,Tamaulipas,22950,5574.0,2004,5
53,Veracruz,198154,106415.0,2004,5
54,Yucatan,1050,1050.0,2004,5
