,Estado,Sembrada_ha,Cosechada_ha,Año,Mes
0,Oaxaca,742,6.0,2004,1
1,Total,23880,6.0,2004,1
2,Michoacan,988,195.0,2004,2
3,Oaxaca,742,18.0,2004,2
4,Total,41611,213.0,2004,2
5,Michoacan,1051,200.0,2004,3
6,Oaxaca,742,25.0,2004,3
7,Total,42691,225.0,2004,3
8,Coahuila,1114,135.0,2004,4
9,Chiapas,100,81.0,2004,4
10,Chihuahua,260,49.0,2004,4
11,Mexico,50,44.0,2004,4
12,Michoacan,1021,390.0,2004,4
13,Nuevo leon,21498,13335.0,2004,4
14,Oaxaca,742,387.0,2004,4
15,Puebla,110,102.0,2004,4
16,Tamaulipas,700,527.0,2004,4
17,Total,42651,15050.0,2004,4
18,Coahuila,1114,732.0,2004,5
19,Chiapas,100,100.0,2004,5
20,Chihuahua,260,260.0,2004,5
21,Durango,391,391.0,2004,5
22,Jalisco,38,38.0,2004,5
23,Mexico,50,50.0,2004,5
24,Michoacan,1033,741.0,2004,5
25,Nuevo leon,21498,19987.0,2004,5
26,Oaxaca,742,457.0,2004,5
27,Puebla,110,102.0,2004,5
28,Tamaulipas,600,527.0,2004,5
29,Total,42563,23385.0,2004,5
30,Region lagunera,391,391.0,2004,5
31,Laguna durango,391,391.0,2004,5
32,Baja california,16493,760.0,2004,6
33,Coahuila,1114,887.0,2004,6
34,Chiapas,100,100.0,2004,6
35,Chihuahua,260,260.0,2004,6
36,Durango,391,391.0,2004,6
37,Jalisco,38,38.0,2004,6
38,Mexico,50,50.0,2004,6
39,Michoacan,1033,953.0,2004,6
40,Nuevo leon,21536,20333.0,2004,6
41,Oaxaca,742,457.0,2004,6
42,Puebla,110,102.0,2004,6
43,Tamaulipas,600,527.0,2004,6
44,Total,42601,24858.0,2004,6
45,Region lagunera,391,391.0,2004,6
46,Laguna durango,391,391.0,2004,6
47,Baja california,16493,4167.0,2004,7
48,Coahuila,1114,887.0,2004,7
49,Chiapas,100,100.0,2004,7
50,Chihuahua,260,260.0,2004,7
51,Durango,391,391.0,2004,7
52,Jalisco,38,38.0,2004,7
53,Mexico,50,50.0,2004,7
54,Michoacan,1033,1016.0,2004,7
55,Nuevo leon,21536,20333.0,2004,7
56,Oaxaca,742,742.0,2004,7
57,Puebla,110,110.0,2004,7
58,Tamaulipas,600,532.0,2004,7
59,Total,42601,28626.0,2004,7
60,Region lagunera,391,391.0,2004,7
61,Laguna durango,391,391.0,2004,7
62,Baja california,16493,6067.0,2004,8
63,Coahuila,1114,887.0,2004,8
64,Chiapas,100,100.0,2004,8
65,Chihuahua,260,260.0,2004,8
66,Durango,391,391.0,2004,8
67,Jalisco,38,38.0,2004,8
68,Mexico,50,50.0,2004,8
69,Michoacan,1033,1027.0,2004,8
70,Nuevo leon,21536,20333.0,2004,8
71,Oaxaca,742,742.0,2004,8
72,Puebla,110,110.0,2004,8
73,Tamaulipas,600,532.0,2004,8
74,Total,42601,30536.0,2004,8
75,Region lagunera,391,391.0,2004,8
76,Laguna durango,391,391.0,2004,8
77,Baja california,16493,6067.0,2004,9
78,Coahuila,1114,887.0,2004,9
79,Chiapas,100,100.0,2004,9
80,Chihuahua,260,260.0,2004,9
81,Durango,391,391.0,2004,9
82,Jalisco,38,38.0,2004,9
