,Estado,Año,Mes,SPI
0,Aguascalientes,1951,1,-1.462777778
1,Aguascalientes,1951,2,-1.41
2,Aguascalientes,1951,3,-1.03
3,Aguascalientes,1951,4,-1.326666667
4,Aguascalientes,1951,5,-1.185
5,Aguascalientes,1951,6,-1.213333333
6,Aguascalientes,1951,7,-1.392777778
7,Aguascalientes,1951,8,-1.465
8,Aguascalientes,1951,9,-1.224444444
9,Aguascalientes,1951,10,-1.101666667
10,Aguascalientes,1951,11,-1.442222222
11,Aguascalientes,1951,12,-1.474444444
12,Aguascalientes,1952,1,-1.462777778
13,Aguascalientes,1952,2,-1.41
14,Aguascalientes,1952,3,-1.240555556
15,Aguascalientes,1952,4,-1.101111111
16,Aguascalientes,1952,5,-1.315
17,Aguascalientes,1952,6,-1.048888889
18,Aguascalientes,1952,7,-1.8
19,Aguascalientes,1952,8,-1.518888889
20,Aguascalientes,1952,9,-1.169444444
21,Aguascalientes,1952,10,-1.770555556
22,Aguascalientes,1952,11,-1.235555556
23,Aguascalientes,1952,12,-1.329444444
24,Aguascalientes,1953,1,-1.456666667
25,Aguascalientes,1953,2,-1.228333333
26,Aguascalientes,1953,3,-1.131666667
27,Aguascalientes,1953,4,-1.386666667
28,Aguascalientes,1953,5,-1.722222222
29,Aguascalientes,1953,6,-1.367222222
30,Aguascalientes,1953,7,-1.599444444
31,Aguascalientes,1953,8,-0.978333333
32,Aguascalientes,1953,9,-1.559444444
33,Aguascalientes,1953,10,-1.146111111
34,Aguascalientes,1953,11,-1.056666667
35,Aguascalientes,1953,12,-0.742777778
36,Aguascalientes,1954,1,-1.435555556
37,Aguascalientes,1954,2,-1.366111111
38,Aguascalientes,1954,3,-1.240555556
39,Aguascalientes,1954,4,-1.278888889
40,Aguascalientes,1954,5,-1.345555556
41,Aguascalientes,1954,6,-1.283888889
42,Aguascalientes,1954,7,-1.252222222
43,Aguascalientes,1954,8,-1.668333333
44,Aguascalientes,1954,9,-1.545555556
45,Aguascalientes,1954,10,-1.367777778
46,Aguascalientes,1954,11,-1.444444444
47,Aguascalientes,1954,12,-1.474444444
48,Aguascalientes,1955,1,-1.462777778
49,Aguascalientes,1955,2,-1.41
50,Aguascalientes,1955,3,-1.240555556
51,Aguascalientes,1955,4,-1.402777778
52,Aguascalientes,1955,5,-1.551666667
53,Aguascalientes,1955,6,-1.269444444
54,Aguascalientes,1955,7,-1.132222222
55,Aguascalientes,1955,8,-1.193888889
56,Aguascalientes,1955,9,-1.232222222
57,Aguascalientes,1955,10,-1.158333333
58,Aguascalientes,1955,11,-1.453888889
59,Aguascalientes,1955,12,-1.474444444
60,Aguascalientes,1956,1,-1.462777778
61,Aguascalientes,1956,2,-1.171111111
62,Aguascalientes,1956,3,-1.240555556
63,Aguascalientes,1956,4,-1.261666667
64,Aguascalientes,1956,5,-0.846111111
65,Aguascalientes,1956,6,-1.21
66,Aguascalientes,1956,7,-1.181666667
67,Aguascalientes,1956,8,-1.167777778
68,Aguascalientes,1956,9,-2.252222222
69,Aguascalientes,1956,10,-1.61
70,Aguascalientes,1956,11,-1.348333333
71,Aguascalientes,1956,12,-1.245
72,Aguascalientes,1957,1,-1.364444444
73,Aguascalientes,1957,2,-1.384444444
74,Aguascalientes,1957,3,-1.235555556
75,Aguascalientes,1957,4,-1.261666667
76,Aguascalientes,1957,5,-1.477222222
77,Aguascalientes,1957,6,-1.528333333
78,Aguascalientes,1957,7,-1.840555556
79,Aguascalientes,1957,8,-1.802222222
80,Aguascalientes,1957,9,-0.967222222
81,Aguascalientes,1957,10,-0.865
82,Aguascalientes,1957,11,-1.372222222
83,Aguascalientes,1957,12,-1.386111111
84,Aguascalientes,1958,1,-0.620555556
85,Aguascalientes,1958,2,-1.172222222
86,Aguascalientes,1958,3,-0.868888889
87,Aguascalientes,1958,4,-1.298888889
88,Aguascalientes,1958,5,-1.080555556
89,Aguascalientes,1958,6,-0.961666667
90,Aguascalientes,1958,7,-0.950555556
91,Aguascalientes,1958,8,-1.096111111
92,Aguascalientes,1958,9,-0.878333333
93,Aguascalientes,1958,10,-0.686111111
94,Aguascalientes,1958,11,-0.439444444
95,Aguascalientes,1958,12,-0.917777778
96,Aguascalientes,1959,1,-1.229444444
97,Aguascalientes,1959,2,-1.147777778
98,Aguascalientes,1959,3,-1.109444444
99,Aguascalientes,1959,4,-0.121111111
100,Aguascalientes,1959,5,-1.348888889
101,Aguascalientes,1959,6,-1.007777778
102,Aguascalientes,1959,7,-1.236111111
103,Aguascalientes,1959,8,-1.020555556
104,Aguascalientes,1959,9,-1.105
105,Aguascalientes,1959,10,-0.885
106,Aguascalientes,1959,11,-1.279444444
107,Aguascalientes,1959,12,-1.199444444
108,Aguascalientes,1960,1,-1.25
109,Aguascalientes,1960,2,-1.199444444
110,Aguascalientes,1960,3,-0.965
111,Aguascalientes,1960,4,-1.058888889
112,Aguascalientes,1960,5,-1.574444444
113,Aguascalientes,1960,6,-1.59
114,Aguascalientes,1960,7,-1.466111111
115,Aguascalientes,1960,8,-0.884444444
116,Aguascalientes,1960,9,-1.536666667
117,Aguascalientes,1960,10,-1.086111111
118,Aguascalientes,1960,11,-1.219444444
119,Aguascalientes,1960,12,-0.756666667
120,Aguascalientes,1961,1,-0.765
121,Aguascalientes,1961,2,-1.205555556
122,Aguascalientes,1961,3,-0.936111111
123,Aguascalientes,1961,4,-0.975
124,Aguascalientes,1961,5,-0.927222222
125,Aguascalientes,1961,6,-1.216666667
126,Aguascalientes,1961,7,-1.44
127,Aguascalientes,1961,8,-1.414444444
128,Aguascalientes,1961,9,-1.228888889
129,Aguascalientes,1961,10,-1.076111111
130,Aguascalientes,1961,11,-0.925
131,Aguascalientes,1961,12,-1.293333333
132,Aguascalientes,1962,1,-1.111666667
133,Aguascalientes,1962,2,-0.976111111
134,Aguascalientes,1962,3,-0.982777778
135,Aguascalientes,1962,4,-0.316111111
136,Aguascalientes,1962,5,-1.633888889
137,Aguascalientes,1962,6,-1.160555556
138,Aguascalientes,1962,7,-1.607777778
139,Aguascalientes,1962,8,-1.726111111
140,Aguascalientes,1962,9,-1.028888889
141,Aguascalientes,1962,10,-0.827777778
142,Aguascalientes,1962,11,-1.086111111
143,Aguascalientes,1962,12,-0.946111111
144,Aguascalientes,1963,1,-1.292777778
145,Aguascalientes,1963,2,-1.08
146,Aguascalientes,1963,3,-0.763333333
147,Aguascalientes,1963,4,-1.141111111
148,Aguascalientes,1963,5,-1.192222222
149,Aguascalientes,1963,6,-1.046666667
150,Aguascalientes,1963,7,-0.962222222
151,Aguascalientes,1963,8,-1.135
152,Aguascalientes,1963,9,-1.312777778
153,Aguascalientes,1963,10,-0.937222222
154,Aguascalientes,1963,11,-0.981666667
155,Aguascalientes,1963,12,-0.116666667
156,Aguascalientes,1964,1,-0.577777778
157,Aguascalientes,1964,2,-0.956111111
158,Aguascalientes,1964,3,-0.842222222
159,Aguascalientes,1964,4,-0.932777778
160,Aguascalientes,1964,5,-0.740555556
161,Aguascalientes,1964,6,-1.063888889
162,Aguascalientes,1964,7,-1.118888889
163,Aguascalientes,1964,8,-1.311111111
164,Aguascalientes,1964,9,-0.584444444
165,Aguascalientes,1964,10,-0.81
166,Aguascalientes,1964,11,-0.648333333
167,Aguascalientes,1964,12,-0.444444444
168,Aguascalientes,1965,1,-0.854444444
169,Aguascalientes,1965,2,-0.346111111
170,Aguascalientes,1965,3,-0.842222222
171,Aguascalientes,1965,4,-0.002222222
172,Aguascalientes,1965,5,-0.906666667
173,Aguascalientes,1965,6,-1.55
174,Aguascalientes,1965,7,-1.033888889
175,Aguascalientes,1965,8,-0.441666667
176,Aguascalientes,1965,9,-0.481111111
177,Aguascalientes,1965,10,-0.792222222
178,Aguascalientes,1965,11,-0.494444444
179,Aguascalientes,1965,12,-0.232777778
180,Aguascalientes,1966,1,-0.463333333
181,Aguascalientes,1966,2,-0.621111111
182,Aguascalientes,1966,3,-0.428888889
183,Aguascalientes,1966,4,0.144444444
184,Aguascalientes,1966,5,-0.925
185,Aguascalientes,1966,6,-0.526111111
186,Aguascalientes,1966,7,-0.93
187,Aguascalientes,1966,8,0.003333333
188,Aguascalientes,1966,9,-1.247222222
189,Aguascalientes,1966,10,-0.593333333
190,Aguascalientes,1966,11,-0.862777778
191,Aguascalientes,1966,12,-0.987777778
192,Aguascalientes,1967,1,-0.043333333
193,Aguascalientes,1967,2,-0.868888889
194,Aguascalientes,1967,3,-0.078888889
195,Aguascalientes,1967,4,-0.807777778
196,Aguascalientes,1967,5,-0.178333333
197,Aguascalientes,1967,6,-0.791111111
198,Aguascalientes,1967,7,-1.381111111
199,Aguascalientes,1967,8,0.201111111
200,Aguascalientes,1967,9,-0.013333333
201,Aguascalientes,1967,10,-0.421111111
202,Aguascalientes,1967,11,-0.376111111
203,Aguascalientes,1967,12,-0.915555556
204,Aguascalientes,1968,1,-0.936111111
205,Aguascalientes,1968,2,-0.028333333
206,Aguascalientes,1968,3,0.770555556
207,Aguascalientes,1968,4,-0.505
208,Aguascalientes,1968,5,-0.916666667
209,Aguascalientes,1968,6,-1.077222222
210,Aguascalientes,1968,7,-0.62
211,Aguascalientes,1968,8,-1.016666667
212,Aguascalientes,1968,9,-0.451111111
213,Aguascalientes,1968,10,-0.627222222
214,Aguascalientes,1968,11,-0.793333333
215,Aguascalientes,1968,12,-0.477777778
216,Aguascalientes,1969,1,-0.767222222
217,Aguascalientes,1969,2,-0.865555556
218,Aguascalientes,1969,3,-0.713888889
219,Aguascalientes,1969,4,-0.981111111
220,Aguascalientes,1969,5,-1.217222222
221,Aguascalientes,1969,6,-1.465
222,Aguascalientes,1969,7,-1.18
223,Aguascalientes,1969,8,-1.464444444
224,Aguascalientes,1969,9,-1.49
225,Aguascalientes,1969,10,-0.963888889
226,Aguascalientes,1969,11,-0.883333333
227,Aguascalientes,1969,12,-0.639444444
228,Aguascalientes,1970,1,-1.008888889
229,Aguascalientes,1970,2,0.270555556
230,Aguascalientes,1970,3,-0.441111111
231,Aguascalientes,1970,4,-0.749444444
232,Aguascalientes,1970,5,-1.273888889
233,Aguascalientes,1970,6,0.191666667
234,Aguascalientes,1970,7,-0.850555556
235,Aguascalientes,1970,8,-0.485
236,Aguascalientes,1970,9,0.417777778
237,Aguascalientes,1970,10,-0.671666667
238,Aguascalientes,1970,11,-0.014444444
239,Aguascalientes,1970,12,-0.882222222
240,Aguascalientes,1971,1,-0.633888889
241,Aguascalientes,1971,2,-0.699444444
242,Aguascalientes,1971,3,-0.27
243,Aguascalientes,1971,4,-0.625
244,Aguascalientes,1971,5,0.716666667
245,Aguascalientes,1971,6,0.337222222
246,Aguascalientes,1971,7,-1.031111111
247,Aguascalientes,1971,8,0.375
248,Aguascalientes,1971,9,0.503888889
249,Aguascalientes,1971,10,-0.292222222
250,Aguascalientes,1971,11,-0.692222222
251,Aguascalientes,1971,12,-0.712222222
252,Aguascalientes,1972,1,-0.606111111
253,Aguascalientes,1972,2,-0.699444444
254,Aguascalientes,1972,3,0.383333333
255,Aguascalientes,1972,4,0.119444444
256,Aguascalientes,1972,5,1.22
257,Aguascalientes,1972,6,0.187222222
258,Aguascalientes,1972,7,-0.593888889
259,Aguascalientes,1972,8,-0.969444444
260,Aguascalientes,1972,9,0.003888889
261,Aguascalientes,1972,10,-0.558333333
262,Aguascalientes,1972,11,0.257777778
263,Aguascalientes,1972,12,-0.392222222
264,Aguascalientes,1973,1,0.478333333
